wavelength	flux	error
3981.500000	0.766873	0.000000
3982.000000	0.752952	0.000000
3982.500000	0.748305	0.000000
3983.000000	0.750244	0.000000
3983.500000	0.766713	0.000000
3984.000000	0.787978	0.000000
3984.500000	0.773730	0.000000
3985.000000	0.760876	0.000000
3985.500000	0.801070	0.000000
3986.000000	0.834217	0.000000
3986.500000	0.845711	0.000000
3987.000000	0.841988	0.000000
3987.500000	0.816326	0.000000
3988.000000	0.849847	0.000000
3988.500000	0.927381	0.000000
3989.000000	0.921611	0.000000
3989.500000	0.886109	0.000000
3990.000000	0.907608	0.000000
3990.500000	0.932192	0.000000
3991.000000	0.907658	0.000000
3991.500000	0.877164	0.000000
3992.000000	0.826104	0.000000
3992.500000	0.819155	0.000000
3993.000000	0.882338	0.000000
3993.500000	0.882444	0.000000
3994.000000	0.830391	0.000000
3994.500000	0.856567	0.000000
3995.000000	0.914978	0.000000
3995.500000	0.904765	0.000000
3996.000000	0.884142	0.000000
3996.500000	0.862226	0.000000
3997.000000	0.855090	0.000000
3997.500000	0.911692	0.000000
3998.000000	0.948412	0.000000
3998.500000	0.947758	0.000000
3999.000000	0.955924	0.000000
3999.500000	0.972702	0.000000
4000.000000	0.945804	0.000000
4000.500000	0.896834	0.000000
4001.000000	0.927804	0.000000
4001.500000	0.976063	0.000000
4002.000000	0.967124	0.000000
4002.500000	0.955888	0.000000
4003.000000	0.937614	0.000000
4003.500000	0.937733	0.000000
4004.000000	0.982167	0.000000
4004.500000	1.004910	0.000000
4005.000000	1.001082	0.000000
4005.500000	0.946142	0.000000
4006.000000	0.857853	0.000000
4006.500000	0.861174	0.000000
4007.000000	0.893332	0.000000
4007.500000	0.903770	0.000000
4008.000000	0.911529	0.000000
4008.500000	0.910265	0.000000
4009.000000	0.905523	0.000000
4009.500000	0.888748	0.000000
4010.000000	0.857156	0.000000
4010.500000	0.801152	0.000000
4011.000000	0.814575	0.000000
4011.500000	0.889369	0.000000
4012.000000	0.922965	0.000000
4012.500000	0.937500	0.000000
4013.000000	0.934947	0.000000
4013.500000	0.929042	0.000000
4014.000000	0.904451	0.000000
4014.500000	0.887490	0.000000
4015.000000	0.919053	0.000000
4015.500000	0.936782	0.000000
4016.000000	0.920704	0.000000
4016.500000	0.912108	0.000000
4017.000000	0.912996	0.000000
4017.500000	0.943530	0.000000
4018.000000	0.994563	0.000000
4018.500000	0.971829	0.000000
4019.000000	0.923322	0.000000
4019.500000	0.895569	0.000000
4020.000000	0.872277	0.000000
4020.500000	0.895625	0.000000
4021.000000	0.920720	0.000000
4021.500000	0.953305	0.000000
4022.000000	0.960009	0.000000
4022.500000	0.915560	0.000000
4023.000000	0.910112	0.000000
4023.500000	0.946303	0.000000
4024.000000	0.950940	0.000000
4024.500000	0.937120	0.000000
4025.000000	0.905271	0.000000
4025.500000	0.868260	0.000000
4026.000000	0.892047	0.000000
4026.500000	0.918523	0.000000
4027.000000	0.914359	0.000000
4027.500000	0.908318	0.000000
4028.000000	0.895439	0.000000
4028.500000	0.886286	0.000000
4029.000000	0.883741	0.000000
4029.500000	0.881635	0.000000
4030.000000	0.879961	0.000000
4030.500000	0.893025	0.000000
4031.000000	0.914050	0.000000
4031.500000	0.914191	0.000000
4032.000000	0.908902	0.000000
4032.500000	0.889822	0.000000
4033.000000	0.875444	0.000000
4033.500000	0.925927	0.000000
4034.000000	0.969790	0.000000
4034.500000	0.990376	0.000000
4035.000000	0.994767	0.000000
4035.500000	0.970890	0.000000
4036.000000	0.946566	0.000000
4036.500000	0.921802	0.000000
4037.000000	0.937146	0.000000
4037.500000	0.974355	0.000000
4038.000000	0.986235	0.000000
4038.500000	0.991316	0.000000
4039.000000	0.949025	0.000000
4039.500000	0.910042	0.000000
4040.000000	0.965597	0.000000
4040.500000	1.000541	0.000000
4041.000000	0.956956	0.000000
4041.500000	0.924837	0.000000
4042.000000	0.914314	0.000000
4042.500000	0.895513	0.000000
4043.000000	0.867950	0.000000
4043.500000	0.876126	0.000000
4044.000000	0.905832	0.000000
4044.500000	0.924168	0.000000
4045.000000	0.938960	0.000000
4045.500000	0.960659	0.000000
4046.000000	0.982006	0.000000
4046.500000	0.973500	0.000000
4047.000000	0.968550	0.000000
4047.500000	0.980649	0.000000
4048.000000	0.974764	0.000000
4048.500000	0.928675	0.000000
4049.000000	0.878398	0.000000
4049.500000	0.822903	0.000000
4050.000000	0.821335	0.000000
4050.500000	0.858828	0.000000
4051.000000	0.878759	0.000000
4051.500000	0.891683	0.000000
4052.000000	0.911780	0.000000
4052.500000	0.933150	0.000000
4053.000000	0.938029	0.000000
4053.500000	0.942970	0.000000
4054.000000	0.950538	0.000000
4054.500000	0.955618	0.000000
4055.000000	0.953242	0.000000
4055.500000	0.942193	0.000000
4056.000000	0.917152	0.000000
4056.500000	0.902604	0.000000
4057.000000	0.897948	0.000000
4057.500000	0.907728	0.000000
4058.000000	0.925401	0.000000
4058.500000	0.932552	0.000000
4059.000000	0.936707	0.000000
4059.500000	0.932842	0.000000
4060.000000	0.927996	0.000000
4060.500000	0.918721	0.000000
4061.000000	0.912524	0.000000
4061.500000	0.921367	0.000000
4062.000000	0.915318	0.000000
4062.500000	0.874382	0.000000
4063.000000	0.867920	0.000000
4063.500000	0.907477	0.000000
4064.000000	0.895413	0.000000
4064.500000	0.842317	0.000000
4065.000000	0.861836	0.000000
4065.500000	0.914846	0.000000
4066.000000	0.908303	0.000000
4066.500000	0.888230	0.000000
4067.000000	0.904021	0.000000
4067.500000	0.921817	0.000000
4068.000000	0.933466	0.000000
4068.500000	0.934079	0.000000
4069.000000	0.888642	0.000000
4069.500000	0.871764	0.000000
4070.000000	0.915751	0.000000
4070.500000	0.937341	0.000000
4071.000000	0.931039	0.000000
4071.500000	0.912961	0.000000
4072.000000	0.885942	0.000000
4072.500000	0.882364	0.000000
4073.000000	0.888947	0.000000
4073.500000	0.891925	0.000000
4074.000000	0.894271	0.000000
4074.500000	0.943558	0.000000
4075.000000	0.989642	0.000000
4075.500000	0.950370	0.000000
4076.000000	0.921345	0.000000
4076.500000	0.933414	0.000000
4077.000000	0.937154	0.000000
4077.500000	0.920910	0.000000
4078.000000	0.927242	0.000000
4078.500000	0.962402	0.000000
4079.000000	0.976701	0.000000
4079.500000	0.973704	0.000000
4080.000000	0.955973	0.000000
4080.500000	0.931239	0.000000
4081.000000	0.902770	0.000000
4081.500000	0.873805	0.000000
4082.000000	0.877364	0.000000
4082.500000	0.884336	0.000000
4083.000000	0.892418	0.000000
4083.500000	0.900240	0.000000
4084.000000	0.904462	0.000000
4084.500000	0.908581	0.000000
4085.000000	0.911910	0.000000
4085.500000	0.904203	0.000000
4086.000000	0.879750	0.000000
4086.500000	0.868796	0.000000
4087.000000	0.870331	0.000000
4087.500000	0.857519	0.000000
4088.000000	0.836373	0.000000
4088.500000	0.833556	0.000000
4089.000000	0.836574	0.000000
4089.500000	0.841981	0.000000
4090.000000	0.847625	0.000000
4090.500000	0.843224	0.000000
4091.000000	0.837282	0.000000
4091.500000	0.819746	0.000000
4092.000000	0.797102	0.000000
4092.500000	0.756425	0.000000
4093.000000	0.719218	0.000000
4093.500000	0.688876	0.000000
4094.000000	0.661494	0.000000
4094.500000	0.637720	0.000000
4095.000000	0.625773	0.000000
4095.500000	0.622917	0.000000
4096.000000	0.603650	0.000000
4096.500000	0.576637	0.000000
4097.000000	0.542004	0.000000
4097.500000	0.505372	0.000000
4098.000000	0.489086	0.000000
4098.500000	0.474442	0.000000
4099.000000	0.437035	0.000000
4099.500000	0.401245	0.000000
4100.000000	0.376231	0.000000
4100.500000	0.348063	0.000000
4101.000000	0.310124	0.000000
4101.500000	0.275532	0.000000
4102.000000	0.247036	0.000000
4102.500000	0.237871	0.000000
4103.000000	0.250864	0.000000
4103.500000	0.260842	0.000000
4104.000000	0.268611	0.000000
4104.500000	0.286143	0.000000
4105.000000	0.308147	0.000000
4105.500000	0.346809	0.000000
4106.000000	0.389782	0.000000
4106.500000	0.401520	0.000000
4107.000000	0.411270	0.000000
4107.500000	0.500836	0.000000
4108.000000	0.578237	0.000000
4108.500000	0.567835	0.000000
4109.000000	0.572915	0.000000
4109.500000	0.629536	0.000000
4110.000000	0.669062	0.000000
4110.500000	0.675103	0.000000
4111.000000	0.677261	0.000000
4111.500000	0.674587	0.000000
4112.000000	0.686354	0.000000
4112.500000	0.709754	0.000000
4113.000000	0.708608	0.000000
4113.500000	0.694719	0.000000
4114.000000	0.725808	0.000000
4114.500000	0.770599	0.000000
4115.000000	0.802092	0.000000
4115.500000	0.831515	0.000000
4116.000000	0.834273	0.000000
4116.500000	0.835001	0.000000
4117.000000	0.820162	0.000000
4117.500000	0.813989	0.000000
4118.000000	0.845958	0.000000
4118.500000	0.861122	0.000000
4119.000000	0.834756	0.000000
4119.500000	0.829988	0.000000
4120.000000	0.858820	0.000000
4120.500000	0.897416	0.000000
4121.000000	0.946053	0.000000
4121.500000	0.926565	0.000000
4122.000000	0.861087	0.000000
4122.500000	0.831585	0.000000
4123.000000	0.817727	0.000000
4123.500000	0.840457	0.000000
4124.000000	0.872440	0.000000
4124.500000	0.830055	0.000000
4125.000000	0.779632	0.000000
4125.500000	0.868571	0.000000
4126.000000	0.944686	0.000000
4126.500000	0.905834	0.000000
4127.000000	0.883009	0.000000
4127.500000	0.923878	0.000000
4128.000000	0.941490	0.000000
4128.500000	0.904649	0.000000
4129.000000	0.867182	0.000000
4129.500000	0.828754	0.000000
4130.000000	0.843077	0.000000
4130.500000	0.910837	0.000000
4131.000000	0.931412	0.000000
4131.500000	0.919830	0.000000
4132.000000	0.893765	0.000000
4132.500000	0.861236	0.000000
4133.000000	0.910755	0.000000
4133.500000	0.982172	0.000000
4134.000000	0.956099	0.000000
4134.500000	0.917473	0.000000
4135.000000	0.899390	0.000000
4135.500000	0.886744	0.000000
4136.000000	0.934129	0.000000
4136.500000	0.971642	0.000000
4137.000000	0.962094	0.000000
4137.500000	0.954045	0.000000
4138.000000	0.950116	0.000000
4138.500000	0.949383	0.000000
4139.000000	0.954271	0.000000
4139.500000	0.951591	0.000000
4140.000000	0.939914	0.000000
4140.500000	0.927161	0.000000
4141.000000	0.913530	0.000000
4141.500000	0.941551	0.000000
4142.000000	0.992647	0.000000
4142.500000	0.972767	0.000000
4143.000000	0.927458	0.000000
4143.500000	0.945681	0.000000
4144.000000	0.977056	0.000000
4144.500000	0.960638	0.000000
4145.000000	0.939771	0.000000
4145.500000	0.892670	0.000000
4146.000000	0.856552	0.000000
4146.500000	0.916436	0.000000
4147.000000	0.963253	0.000000
4147.500000	0.955402	0.000000
4148.000000	0.953730	0.000000
4148.500000	0.967685	0.000000
4149.000000	0.985387	0.000000
4149.500000	1.009380	0.000000
4150.000000	1.001189	0.000000
4150.500000	0.955505	0.000000
4151.000000	0.932198	0.000000
4151.500000	0.927153	0.000000
4152.000000	0.945177	0.000000
4152.500000	0.976253	0.000000
4153.000000	0.974472	0.000000
4153.500000	0.960328	0.000000
4154.000000	0.939073	0.000000
4154.500000	0.916153	0.000000
4155.000000	0.947596	0.000000
